Date,Channel,SKU,Category,Unit_Cost,Unit_Price,Lead_Time_Days,Is_Promotion,Is_Bundle,Units_Sold,On_Hand_Inventory,Total_Revenue,Total_Cost,Gross_Margin
2024-01-02,eCommerce,SKU_E103,Electronics,51.66,66.37,12,0,0,14,14,929.1800000000001,723.24,205.94000000000005
2024-01-02,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,14,17,929.1800000000001,723.24,205.94000000000005
2024-01-02,eCommerce,SKU_E104,Electronics,93.42,124.79,7,0,0,10,3,1247.9,934.2,313.70000000000005
2024-01-02,Retail Store,SKU_E104,Electronics,93.42,124.79,7,0,0,10,20,1247.9,934.2,313.70000000000005
2024-01-02,eCommerce,SKU_E105,Electronics,19.84,36.34,16,0,0,12,37,436.08000000000004,238.07999999999998,198.00000000000006
2024-01-02,Retail Store,SKU_E105,Electronics,19.84,36.34,16,0,0,6,12,218.04000000000002,119.03999999999999,99.00000000000003
2024-01-02,eCommerce,SKU_A201,Appliances,235.56,250.38,16,1,0,14,77,3505.3199999999997,3297.84,207.47999999999956
2024-01-02,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,10,56,2945.6,2355.6,590.0
2024-01-02,eCommerce,SKU_A202,Appliances,58.1,83.23,10,0,0,13,43,1081.99,755.3000000000001,326.68999999999994
2024-01-02,Retail Store,SKU_A202,Appliances,58.1,83.23,10,0,0,10,2,832.3000000000001,581.0,251.30000000000007
2024-01-02,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,9,63,189.54,149.94,39.599999999999994
2024-01-02,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,8,51,168.48,133.28,35.19999999999999
2024-01-02,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,14,53,2964.78,2223.06,741.7200000000003
2024-01-02,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,15,79,3176.55,2381.85,794.7000000000003
2024-01-02,eCommerce,SKU_A205,Appliances,243.83,288.02,18,1,1,22,40,6336.44,5364.26,972.1799999999994
2024-01-02,Retail Store,SKU_A205,Appliances,243.83,288.02,18,1,0,12,81,3456.24,2925.96,530.2799999999997
2024-01-02,eCommerce,SKU_H301,Home Office,199.52,273.3,11,0,0,10,58,2733.0,1995.2,737.8
2024-01-02,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,13,67,3552.9,2593.76,959.1399999999999
2024-01-02,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,8,25,3011.84,1968.48,1043.3600000000001
2024-01-02,Retail Store,SKU_H302,Home Office,246.06,376.48,9,0,0,4,62,1505.92,984.24,521.6800000000001
2024-01-02,eCommerce,SKU_H303,Home Office,157.77,213.36,11,0,0,12,40,2560.32,1893.2400000000002,667.0799999999999
2024-01-02,Retail Store,SKU_H303,Home Office,157.77,213.36,11,0,0,10,17,2133.6000000000004,1577.7,555.9000000000003
2024-01-02,eCommerce,SKU_H304,Home Office,18.12,32.89,18,0,0,19,37,624.91,344.28000000000003,280.62999999999994
2024-01-02,Retail Store,SKU_H304,Home Office,18.12,32.89,18,0,0,5,0,164.45,90.60000000000001,73.84999999999998
2024-01-02,eCommerce,SKU_H305,Home Office,204.97,293.68,9,0,0,14,70,4111.52,2869.58,1241.9400000000005
2024-01-02,Retail Store,SKU_H305,Home Office,204.97,293.68,9,0,0,19,35,5579.92,3894.43,1685.4900000000002
2024-01-02,eCommerce,SKU_C401,Accessories,69.26,96.59,16,0,0,16,53,1545.44,1108.16,437.28
2024-01-02,Retail Store,SKU_C401,Accessories,69.26,82.1,16,1,1,12,87,985.1999999999999,831.1200000000001,154.0799999999998
2024-01-02,eCommerce,SKU_C402,Accessories,43.68,67.58,19,0,0,10,87,675.8,436.8,238.99999999999994
2024-01-02,Retail Store,SKU_C402,Accessories,43.68,67.58,19,0,0,10,69,675.8,436.8,238.99999999999994
2024-01-02,eCommerce,SKU_C403,Accessories,55.74,70.34,6,1,1,14,0,984.76,780.36,204.39999999999998
2024-01-02,Retail Store,SKU_C403,Accessories,55.74,82.75,6,0,0,13,27,1075.75,724.62,351.13
2024-01-02,eCommerce,SKU_C404,Accessories,170.69,245.29,10,0,0,15,51,3679.35,2560.35,1119.0
2024-01-02,Retail Store,SKU_C404,Accessories,170.69,245.29,10,0,0,9,18,2207.61,1536.21,671.4000000000001
2024-01-02,eCommerce,SKU_C405,Accessories,63.87,101.59,17,0,0,12,78,1219.08,766.4399999999999,452.64
2024-01-02,Retail Store,SKU_C405,Accessories,63.87,101.59,17,0,0,7,58,711.13,447.09,264.04
2024-01-03,eCommerce,SKU_E101,Electronics,103.02,159.4,15,1,0,20,0,3188.0,2060.4,1127.6
2024-01-03,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,10,79,1875.3,1030.2,845.0999999999999
2024-01-03,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,6,37,1912.62,1189.3799999999999,723.24
2024-01-03,Retail Store,SKU_E102,Electronics,198.23,270.95,14,1,0,20,59,5419.0,3964.6,1454.4
2024-01-03,eCommerce,SKU_E103,Electronics,51.66,66.37,12,0,0,8,13,530.96,413.28,117.68000000000006
2024-01-03,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,6,64,398.22,309.96,88.26000000000005
2024-01-03,eCommerce,SKU_E104,Electronics,93.42,124.79,7,0,0,11,10,1372.69,1027.6200000000001,345.06999999999994
2024-01-03,Retail Store,SKU_E104,Electronics,93.42,106.07,7,1,1,24,11,2545.68,2242.08,303.5999999999999
2024-01-03,eCommerce,SKU_E105,Electronics,19.84,36.34,16,0,0,11,67,399.74,218.24,181.5
2024-01-03,Retail Store,SKU_E105,Electronics,19.84,30.89,16,1,0,16,80,494.24,317.44,176.8
2024-01-03,eCommerce,SKU_A201,Appliances,235.56,294.56,16,0,0,14,53,4123.84,3297.84,826.0
2024-01-03,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,6,4,1767.3600000000001,1413.3600000000001,354.0
2024-01-03,eCommerce,SKU_A202,Appliances,58.1,83.23,10,0,0,10,79,832.3000000000001,581.0,251.30000000000007
2024-01-03,Retail Store,SKU_A202,Appliances,58.1,70.75,10,1,0,16,2,1132.0,929.6,202.39999999999998
2024-01-03,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,11,68,231.66,183.26,48.400000000000006
2024-01-03,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,11,1,231.66,183.26,48.400000000000006
2024-01-03,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,14,50,2964.78,2223.06,741.7200000000003
2024-01-03,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,12,76,2541.2400000000002,1905.48,635.7600000000002
2024-01-03,eCommerce,SKU_A205,Appliances,243.83,338.85,18,0,0,9,30,3049.65,2194.4700000000003,855.1799999999998
2024-01-03,Retail Store,SKU_A205,Appliances,243.83,338.85,18,0,0,13,47,4405.05,3169.79,1235.2600000000002
2024-01-03,eCommerce,SKU_H301,Home Office,199.52,232.31,11,1,1,12,57,2787.7200000000003,2394.2400000000002,393.48
2024-01-03,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,15,48,4099.5,2992.8,1106.6999999999998
2024-01-03,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,5,0,1882.4,1230.3,652.1000000000001
2024-01-03,Retail Store,SKU_H302,Home Office,246.06,376.48,9,0,0,6,67,2258.88,1476.3600000000001,782.52
2024-01-03,eCommerce,SKU_H303,Home Office,157.77,181.36,11,1,1,21,20,3808.5600000000004,3313.17,495.3900000000003
2024-01-03,Retail Store,SKU_H303,Home Office,157.77,213.36,11,0,0,11,66,2346.96,1735.47,611.49
2024-01-03,eCommerce,SKU_H304,Home Office,18.12,32.89,18,0,0,20,46,657.8,362.40000000000003,295.3999999999999
2024-01-03,Retail Store,SKU_H304,Home Office,18.12,27.96,18,1,1,6,37,167.76,108.72,59.03999999999999
2024-01-03,eCommerce,SKU_H305,Home Office,204.97,293.68,9,0,0,12,42,3524.16,2459.64,1064.52
2024-01-03,Retail Store,SKU_H305,Home Office,204.97,249.63,9,1,1,17,34,4243.71,3484.49,759.2200000000003
2024-01-03,eCommerce,SKU_C401,Accessories,69.26,96.59,16,0,0,15,64,1448.8500000000001,1038.9,409.95000000000005
2024-01-03,Retail Store,SKU_C401,Accessories,69.26,96.59,16,0,0,7,35,676.13,484.82000000000005,191.30999999999995
2024-01-03,eCommerce,SKU_C402,Accessories,43.68,67.58,19,0,0,13,42,878.54,567.84,310.69999999999993
2024-01-03,Retail Store,SKU_C402,Accessories,43.68,57.44,19,1,0,16,18,919.04,698.88,220.15999999999997
2024-01-03,eCommerce,SKU_C403,Accessories,55.74,82.75,6,0,0,12,80,993.0,668.88,324.12
2024-01-03,Retail Store,SKU_C403,Accessories,55.74,82.75,6,0,0,13,34,1075.75,724.62,351.13
2024-01-03,eCommerce,SKU_C404,Accessories,170.69,245.29,10,0,0,6,53,1471.74,1024.1399999999999,447.60000000000014
2024-01-03,Retail Store,SKU_C404,Accessories,170.69,245.29,10,0,0,8,0,1962.32,1365.52,596.8
2024-01-03,eCommerce,SKU_C405,Accessories,63.87,101.59,17,0,0,10,61,1015.9000000000001,638.6999999999999,377.20000000000016
2024-01-03,Retail Store,SKU_C405,Accessories,63.87,101.59,17,0,0,9,77,914.3100000000001,574.8299999999999,339.48000000000013
2024-01-04,eCommerce,SKU_E101,Electronics,103.02,187.53,15,0,0,5,0,937.65,515.1,422.54999999999995
2024-01-04,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,10,43,1875.3,1030.2,845.0999999999999
2024-01-04,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,14,37,4462.78,2775.22,1687.56
2024-01-04,Retail Store,SKU_E102,Electronics,198.23,318.77,14,0,0,18,12,5737.86,3568.14,2169.72
2024-01-04,eCommerce,SKU_E103,Electronics,51.66,56.41,12,1,0,16,2,902.56,826.56,76.0
2024-01-04,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,11,19,730.07,568.26,161.81000000000006
2024-01-04,eCommerce,SKU_E104,Electronics,93.42,124.79,7,0,0,9,18,1123.1100000000001,840.78,282.33000000000015
2024-01-04,Retail Store,SKU_E104,Electronics,93.42,124.79,7,0,0,12,30,1497.48,1121.04,376.44000000000005
2024-01-04,eCommerce,SKU_E105,Electronics,19.84,36.34,16,0,0,9,23,327.06000000000006,178.56,148.50000000000006
2024-01-04,Retail Store,SKU_E105,Electronics,19.84,36.34,16,0,0,10,84,363.40000000000003,198.4,165.00000000000003
2024-01-04,eCommerce,SKU_A201,Appliances,235.56,294.56,16,0,0,9,20,2651.04,2120.04,531.0
2024-01-04,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,15,75,4418.4,3533.4,884.9999999999995
2024-01-04,eCommerce,SKU_A202,Appliances,58.1,83.23,10,0,0,15,72,1248.45,871.5,376.95000000000005
2024-01-04,Retail Store,SKU_A202,Appliances,58.1,83.23,10,0,0,10,58,832.3000000000001,581.0,251.30000000000007
2024-01-04,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,13,13,273.78,216.58,57.19999999999996
2024-01-04,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,10,88,210.6,166.6,44.0
2024-01-04,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,10,49,2117.7000000000003,1587.8999999999999,529.8000000000004
2024-01-04,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,4,36,847.08,635.16,211.92000000000007
2024-01-04,eCommerce,SKU_A205,Appliances,243.83,288.02,18,1,1,19,47,5472.379999999999,4632.77,839.6099999999988
2024-01-04,Retail Store,SKU_A205,Appliances,243.83,288.02,18,1,1,21,27,6048.42,5120.43,927.9899999999998
2024-01-04,eCommerce,SKU_H301,Home Office,199.52,273.3,11,0,0,12,6,3279.6000000000004,2394.2400000000002,885.3600000000001
2024-01-04,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,13,68,3552.9,2593.76,959.1399999999999
2024-01-04,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,7,41,2635.36,1722.42,912.94
2024-01-04,Retail Store,SKU_H302,Home Office,246.06,376.48,9,0,0,14,53,5270.72,3444.84,1825.88
2024-01-04,eCommerce,SKU_H303,Home Office,157.77,213.36,11,0,0,15,13,3200.4,2366.55,833.8499999999999
2024-01-04,Retail Store,SKU_H303,Home Office,157.77,213.36,11,0,0,15,58,3200.4,2366.55,833.8499999999999
2024-01-04,eCommerce,SKU_H304,Home Office,18.12,32.89,18,0,0,21,58,690.69,380.52000000000004,310.17
2024-01-04,Retail Store,SKU_H304,Home Office,18.12,27.96,18,1,0,17,59,475.32,308.04,167.27999999999997
2024-01-04,eCommerce,SKU_H305,Home Office,204.97,293.68,9,0,0,16,71,4698.88,3279.52,1419.3600000000001
2024-01-04,Retail Store,SKU_H305,Home Office,204.97,293.68,9,0,0,12,34,3524.16,2459.64,1064.52
2024-01-04,eCommerce,SKU_C401,Accessories,69.26,96.59,16,0,0,16,2,1545.44,1108.16,437.28
2024-01-04,Retail Store,SKU_C401,Accessories,69.26,82.1,16,1,1,19,10,1559.8999999999999,1315.94,243.9599999999998
2024-01-04,eCommerce,SKU_C402,Accessories,43.68,67.58,19,0,0,11,46,743.38,480.48,262.9
2024-01-04,Retail Store,SKU_C402,Accessories,43.68,57.44,19,1,1,21,47,1206.24,917.28,288.96000000000004
2024-01-04,eCommerce,SKU_C403,Accessories,55.74,82.75,6,0,0,17,81,1406.75,947.58,459.16999999999996
2024-01-04,Retail Store,SKU_C403,Accessories,55.74,70.34,6,1,1,12,19,844.08,668.88,175.20000000000005
2024-01-04,eCommerce,SKU_C404,Accessories,170.69,245.29,10,0,0,10,25,2452.9,1706.9,746.0
2024-01-04,Retail Store,SKU_C404,Accessories,170.69,245.29,10,0,0,11,8,2698.19,1877.59,820.6000000000001
2024-01-04,eCommerce,SKU_C405,Accessories,63.87,101.59,17,0,0,8,72,812.72,510.96,301.76000000000005
2024-01-04,Retail Store,SKU_C405,Accessories,63.87,101.59,17,0,0,13,18,1320.67,830.31,490.3600000000001
2024-01-05,eCommerce,SKU_E101,Electronics,103.02,187.53,15,0,0,13,38,2437.89,1339.26,1098.6299999999999
2024-01-05,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,7,57,1312.71,721.14,591.57
2024-01-05,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,15,81,4781.549999999999,2973.45,1808.0999999999995
2024-01-05,Retail Store,SKU_E102,Electronics,198.23,318.77,14,0,0,5,77,1593.85,991.15,602.6999999999999
2024-01-05,eCommerce,SKU_E103,Electronics,51.66,56.41,12,1,1,17,8,958.9699999999999,878.2199999999999,80.75
2024-01-05,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,10,34,663.7,516.5999999999999,147.10000000000014
2024-01-05,eCommerce,SKU_E104,Electronics,93.42,124.79,7,0,0,11,67,1372.69,1027.6200000000001,345.06999999999994
2024-01-05,Retail Store,SKU_E104,Electronics,93.42,124.79,7,0,0,11,68,1372.69,1027.6200000000001,345.06999999999994
2024-01-05,eCommerce,SKU_E105,Electronics,19.84,30.89,16,1,0,16,31,494.24,317.44,176.8
2024-01-05,Retail Store,SKU_E105,Electronics,19.84,36.34,16,0,0,18,11,654.1200000000001,357.12,297.0000000000001
2024-01-05,eCommerce,SKU_A201,Appliances,235.56,294.56,16,0,0,11,42,3240.16,2591.16,649.0
2024-01-05,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,9,80,2651.04,2120.04,531.0
2024-01-05,eCommerce,SKU_A202,Appliances,58.1,83.23,10,0,0,12,63,998.76,697.2,301.55999999999995
2024-01-05,Retail Store,SKU_A202,Appliances,58.1,83.23,10,0,0,9,27,749.07,522.9,226.17000000000007
2024-01-05,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,13,7,273.78,216.58,57.19999999999996
2024-01-05,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,11,85,231.66,183.26,48.400000000000006
2024-01-05,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,8,0,1694.16,1270.32,423.84000000000015
2024-01-05,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,11,27,2329.4700000000003,1746.6899999999998,582.7800000000004
2024-01-05,eCommerce,SKU_A205,Appliances,243.83,338.85,18,0,0,14,55,4743.900000000001,3413.6200000000003,1330.2800000000002
2024-01-05,Retail Store,SKU_A205,Appliances,243.83,338.85,18,0,0,9,67,3049.65,2194.4700000000003,855.1799999999998
2024-01-05,eCommerce,SKU_H301,Home Office,199.52,273.3,11,0,0,15,81,4099.5,2992.8,1106.6999999999998
2024-01-05,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,7,75,1913.1000000000001,1396.64,516.46
2024-01-05,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,18,0,6776.64,4429.08,2347.5600000000004
2024-01-05,Retail Store,SKU_H302,Home Office,246.06,376.48,9,0,0,11,0,4141.280000000001,2706.66,1434.6200000000008
2024-01-05,eCommerce,SKU_H303,Home Office,157.77,213.36,11,0,0,16,7,3413.76,2524.32,889.44
2024-01-05,Retail Store,SKU_H303,Home Office,157.77,213.36,11,0,0,11,40,2346.96,1735.47,611.49
2024-01-05,eCommerce,SKU_H304,Home Office,18.12,32.89,18,0,0,10,61,328.9,181.20000000000002,147.69999999999996
2024-01-05,Retail Store,SKU_H304,Home Office,18.12,32.89,18,0,0,9,33,296.01,163.08,132.92999999999998
2024-01-05,eCommerce,SKU_H305,Home Office,204.97,293.68,9,0,0,10,80,2936.8,2049.7,887.1000000000004
2024-01-05,Retail Store,SKU_H305,Home Office,204.97,293.68,9,0,0,7,56,2055.76,1434.79,620.9700000000003
2024-01-05,eCommerce,SKU_C401,Accessories,69.26,82.1,16,1,1,17,1,1395.6999999999998,1177.42,218.27999999999975
2024-01-05,Retail Store,SKU_C401,Accessories,69.26,96.59,16,0,0,14,63,1352.26,969.6400000000001,382.6199999999999
2024-01-05,eCommerce,SKU_C402,Accessories,43.68,67.58,19,0,0,12,79,810.96,524.16,286.80000000000007
2024-01-05,Retail Store,SKU_C402,Accessories,43.68,67.58,19,0,0,16,30,1081.28,698.88,382.4
2024-01-05,eCommerce,SKU_C403,Accessories,55.74,82.75,6,0,0,9,20,744.75,501.66,243.08999999999997
2024-01-05,Retail Store,SKU_C403,Accessories,55.74,82.75,6,0,0,14,76,1158.5,780.36,378.14
2024-01-05,eCommerce,SKU_C404,Accessories,170.69,245.29,10,0,0,13,44,3188.77,2218.97,969.8000000000002
2024-01-05,Retail Store,SKU_C404,Accessories,170.69,245.29,10,0,0,18,78,4415.22,3072.42,1342.8000000000002
2024-01-05,eCommerce,SKU_C405,Accessories,63.87,101.59,17,0,0,11,47,1117.49,702.5699999999999,414.9200000000001
2024-01-05,Retail Store,SKU_C405,Accessories,63.87,101.59,17,0,0,6,24,609.54,383.21999999999997,226.32
2024-01-06,eCommerce,SKU_E101,Electronics,103.02,187.53,15,0,0,16,24,3000.48,1648.32,1352.16
2024-01-06,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,10,49,1875.3,1030.2,845.0999999999999
2024-01-06,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,9,15,2868.93,1784.07,1084.86
2024-01-06,Retail Store,SKU_E102,Electronics,198.23,318.77,14,0,0,20,57,6375.4,3964.6,2410.7999999999997
2024-01-06,eCommerce,SKU_E103,Electronics,51.66,66.37,12,0,0,7,14,464.59000000000003,361.62,102.97000000000003
2024-01-06,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,14,15,929.1800000000001,723.24,205.94000000000005
2024-01-06,eCommerce,SKU_E104,Electronics,93.42,124.79,7,0,0,14,2,1747.0600000000002,1307.88,439.18000000000006
2024-01-06,Retail Store,SKU_E104,Electronics,93.42,124.79,7,0,0,11,55,1372.69,1027.6200000000001,345.06999999999994
2024-01-06,eCommerce,SKU_E105,Electronics,19.84,30.89,16,1,1,21,63,648.69,416.64,232.05000000000007
2024-01-06,Retail Store,SKU_E105,Electronics,19.84,36.34,16,0,0,9,10,327.06000000000006,178.56,148.50000000000006
2024-01-06,eCommerce,SKU_A201,Appliances,235.56,294.56,16,0,0,12,71,3534.7200000000003,2826.7200000000003,708.0
2024-01-06,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,10,53,2945.6,2355.6,590.0
2024-01-06,eCommerce,SKU_A202,Appliances,58.1,70.75,10,1,0,13,8,919.75,755.3000000000001,164.44999999999993
2024-01-06,Retail Store,SKU_A202,Appliances,58.1,83.23,10,0,0,10,39,832.3000000000001,581.0,251.30000000000007
2024-01-06,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,14,45,294.84,233.24,61.599999999999966
2024-01-06,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,8,0,168.48,133.28,35.19999999999999
2024-01-06,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,10,10,2117.7000000000003,1587.8999999999999,529.8000000000004
2024-01-06,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,17,29,3600.09,2699.43,900.6600000000003
2024-01-06,eCommerce,SKU_A205,Appliances,243.83,288.02,18,1,0,10,33,2880.2,2438.3,441.89999999999964
2024-01-06,Retail Store,SKU_A205,Appliances,243.83,338.85,18,0,0,5,61,1694.25,1219.15,475.0999999999999
2024-01-06,eCommerce,SKU_H301,Home Office,199.52,273.3,11,0,0,13,1,3552.9,2593.76,959.1399999999999
2024-01-06,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,10,59,2733.0,1995.2,737.8
2024-01-06,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,7,27,2635.36,1722.42,912.94
2024-01-06,Retail Store,SKU_H302,Home Office,246.06,320.01,9,1,1,21,36,6720.21,5167.26,1552.9499999999998
2024-01-06,eCommerce,SKU_H303,Home Office,157.77,181.36,11,1,0,14,2,2539.04,2208.78,330.25999999999976
2024-01-06,Retail Store,SKU_H303,Home Office,157.77,181.36,11,1,1,14,29,2539.04,2208.78,330.25999999999976
