Date,SKU,Category,Actual_Units,Total_Revenue,Total_Cost,Gross_Margin,Forecast_Units,Historical_Days_Count,Absolute_Error
2024-03-15,SKU_A201,Appliances,46,11517.48,10835.76,681.72,24.81,74,21.19
2024-03-16,SKU_A201,Appliances,17,5007.52,4004.52,1003.0,25.09,75,8.09
2024-03-17,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.99,76,4.010000000000002
2024-03-18,SKU_A201,Appliances,33,8925.24,7773.48,1151.76,25.04,77,7.960000000000001
2024-03-19,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,25.14,78,3.1400000000000006
2024-03-20,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.1,79,5.100000000000001
2024-03-21,SKU_A201,Appliances,16,4712.96,3768.96,944.0,25.04,80,9.04
2024-03-22,SKU_A201,Appliances,32,9425.92,7537.92,1888.0,24.93,81,7.07
2024-03-23,SKU_A201,Appliances,49,12268.62,11542.44,726.18,25.01,82,23.99
2024-03-24,SKU_A201,Appliances,32,8498.14,7537.92,960.22,25.3,83,6.699999999999999
2024-03-25,SKU_A201,Appliances,39,10427.52,9186.84,1240.68,25.38,84,13.620000000000001
2024-03-26,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.54,85,5.539999999999999
2024-03-27,SKU_A201,Appliances,24,6539.28,5653.44,885.84,25.48,86,1.4800000000000004
2024-03-28,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.46,87,1.4600000000000009
2024-03-29,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,25.44,88,6.440000000000001
2024-03-30,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,25.37,89,0.629999999999999
2024-03-31,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.38,90,4.379999999999999
2024-04-01,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.4,90,4.399999999999999
2024-04-02,SKU_A201,Appliances,31,8159.4,7302.36,857.04,25.37,90,5.629999999999999
2024-04-03,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.49,90,0.48999999999999844
2024-04-04,SKU_A201,Appliances,14,4123.84,3297.84,826.0,25.5,90,11.5
2024-04-05,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,25.43,90,3.4299999999999997
2024-04-06,SKU_A201,Appliances,17,5007.52,4004.52,1003.0,25.43,90,8.43
2024-04-07,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.4,90,7.399999999999999
2024-04-08,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,25.36,90,2.3599999999999994
2024-04-09,SKU_A201,Appliances,29,8012.08,6831.24,1180.84,25.32,90,3.6799999999999997
2024-04-10,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,25.47,90,3.469999999999999
2024-04-11,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,25.43,90,3.5700000000000003
2024-04-12,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,25.41,90,3.59
2024-04-13,SKU_A201,Appliances,16,4712.96,3768.96,944.0,25.3,90,9.3
2024-04-14,SKU_A201,Appliances,35,9691.08,8244.6,1446.48,25.11,90,9.89
2024-04-15,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,25.18,90,3.1799999999999997
2024-04-16,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.18,90,0.17999999999999972
2024-04-17,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.2,90,4.199999999999999
2024-04-18,SKU_A201,Appliances,34,9396.52,8009.04,1387.48,25.18,90,8.82
2024-04-19,SKU_A201,Appliances,17,4654.08,4004.52,649.56,25.26,90,8.260000000000002
2024-04-20,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,25.22,90,1.7800000000000011
2024-04-21,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.21,90,0.21000000000000085
2024-04-22,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.29,90,5.289999999999999
2024-04-23,SKU_A201,Appliances,30,8836.8,7066.8,1770.0,25.23,90,4.77
2024-04-24,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.33,90,1.3299999999999983
2024-04-25,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,25.28,90,2.719999999999999
2024-04-26,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.32,90,1.3200000000000003
2024-04-27,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.19,90,1.1900000000000013
2024-04-28,SKU_A201,Appliances,36,9543.84,8480.16,1063.68,25.21,90,10.79
2024-04-29,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,25.31,90,2.3099999999999987
2024-04-30,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.21,90,0.21000000000000085
2024-05-01,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.22,90,1.2199999999999989
2024-05-02,SKU_A201,Appliances,26,7260.94,6124.56,1136.38,25.23,90,0.7699999999999996
2024-05-03,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,25.33,90,0.6700000000000017
2024-05-04,SKU_A201,Appliances,26,7040.04,6124.56,915.48,25.19,90,0.8099999999999987
2024-05-05,SKU_A201,Appliances,26,7084.22,6124.56,959.66,25.17,90,0.8299999999999983
2024-05-06,SKU_A201,Appliances,19,5110.66,4475.64,635.02,25.27,90,6.27
2024-05-07,SKU_A201,Appliances,28,7408.26,6595.68,812.58,25.08,90,2.9200000000000017
2024-05-08,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.16,90,5.16
2024-05-09,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,25.07,90,0.9299999999999997
2024-05-10,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.99,90,4.010000000000002
2024-05-11,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.03,90,4.030000000000001
2024-05-12,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,24.99,90,2.0100000000000016
2024-05-13,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,25.02,90,2.0199999999999996
2024-05-14,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,24.93,90,2.9299999999999997
2024-05-15,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.01,90,7.010000000000002
2024-05-16,SKU_A201,Appliances,31,8159.4,7302.36,857.04,24.92,90,6.079999999999998
2024-05-17,SKU_A201,Appliances,30,8836.8,7066.8,1770.0,25.07,90,4.93
2024-05-18,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.18,90,4.18
2024-05-19,SKU_A201,Appliances,34,10015.04,8009.04,2006.0,25.21,90,8.79
2024-05-20,SKU_A201,Appliances,26,6774.96,6124.56,650.4,25.31,90,0.6900000000000013
2024-05-21,SKU_A201,Appliances,17,4786.62,4004.52,782.1,25.29,90,8.29
2024-05-22,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.02,90,0.019999999999999574
2024-05-23,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,25.06,90,2.9400000000000013
2024-05-24,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.03,90,4.030000000000001
2024-05-25,SKU_A201,Appliances,26,7040.04,6124.56,915.48,24.98,90,1.0199999999999996
2024-05-26,SKU_A201,Appliances,21,5788.14,4946.76,841.38,24.99,90,3.9899999999999984
2024-05-27,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.94,90,4.940000000000001
2024-05-28,SKU_A201,Appliances,32,9425.92,7537.92,1888.0,24.96,90,7.039999999999999
2024-05-29,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.04,90,5.039999999999999
2024-05-30,SKU_A201,Appliances,23,6068.0,5417.88,650.12,25.09,90,2.09
2024-05-31,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,25.14,90,2.8599999999999994
2024-06-01,SKU_A201,Appliances,14,3858.76,3297.84,560.92,25.07,90,11.07
2024-06-02,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.98,90,0.019999999999999574
2024-06-03,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.06,90,7.059999999999999
2024-06-04,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.97,90,1.9699999999999989
2024-06-05,SKU_A201,Appliances,14,4123.84,3297.84,826.0,24.98,90,10.98
2024-06-06,SKU_A201,Appliances,44,11767.78,10364.64,1403.14,24.8,90,19.2
2024-06-07,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.98,90,1.0199999999999996
2024-06-08,SKU_A201,Appliances,37,9617.5,8715.72,901.78,25.06,90,11.940000000000001
2024-06-09,SKU_A201,Appliances,30,7997.38,7066.8,930.58,25.27,90,4.73
2024-06-10,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,25.34,90,0.6600000000000001
2024-06-11,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,25.34,90,5.34
2024-06-12,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.28,90,0.28000000000000114
2024-06-13,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.23,90,7.23
2024-06-14,SKU_A201,Appliances,17,5007.52,4004.52,1003.0,24.92,90,7.920000000000002
2024-06-15,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.92,90,1.9200000000000017
2024-06-16,SKU_A201,Appliances,33,9720.48,7773.48,1947.0,24.86,90,8.14
2024-06-17,SKU_A201,Appliances,23,6553.98,5417.88,1136.1,24.86,90,1.8599999999999994
2024-06-18,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.87,90,3.129999999999999
2024-06-19,SKU_A201,Appliances,16,4712.96,3768.96,944.0,24.96,90,8.96
2024-06-20,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.96,90,1.0399999999999991
2024-06-21,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.89,90,4.109999999999999
2024-06-22,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.67,90,3.6700000000000017
2024-06-23,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.54,90,4.539999999999999
2024-06-24,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.33,90,5.329999999999998
2024-06-25,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.32,90,4.68
2024-06-26,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,24.38,90,2.379999999999999
2024-06-27,SKU_A201,Appliances,40,10368.64,9422.4,946.24,24.36,90,15.64
2024-06-28,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.59,90,4.59
2024-06-29,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.52,90,0.4800000000000004
2024-06-30,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,24.57,90,0.5700000000000003
2024-07-01,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.6,90,4.600000000000001
2024-07-02,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.48,90,4.52
2024-07-03,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.52,90,5.52
2024-07-04,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.58,90,4.579999999999998
2024-07-05,SKU_A201,Appliances,29,7791.18,6831.24,959.94,24.56,90,4.440000000000001
2024-07-06,SKU_A201,Appliances,41,12076.96,9657.96,2419.0,24.69,90,16.31
2024-07-07,SKU_A201,Appliances,28,7319.9,6595.68,724.22,24.94,90,3.0599999999999987
2024-07-08,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.0,90,7.0
2024-07-09,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.88,90,4.879999999999999
2024-07-10,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.86,90,5.859999999999999
2024-07-11,SKU_A201,Appliances,21,5611.42,4946.76,664.66,24.74,90,3.7399999999999984
2024-07-12,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,24.66,90,2.34
2024-07-13,SKU_A201,Appliances,31,9131.36,7302.36,1829.0,24.78,90,6.219999999999999
2024-07-14,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.73,90,4.27
2024-07-15,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.81,90,3.8099999999999987
2024-07-16,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.77,90,6.77
2024-07-17,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.73,90,3.7300000000000004
2024-07-18,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.59,90,6.59
2024-07-19,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.6,90,5.600000000000001
2024-07-20,SKU_A201,Appliances,16,4712.96,3768.96,944.0,24.51,90,8.510000000000002
2024-07-21,SKU_A201,Appliances,16,4712.96,3768.96,944.0,24.41,90,8.41
2024-07-22,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.37,90,0.629999999999999
2024-07-23,SKU_A201,Appliances,21,5611.42,4946.76,664.66,24.31,90,3.3099999999999987
2024-07-24,SKU_A201,Appliances,25,6612.94,5889.0,723.94,24.28,90,0.7199999999999989
2024-07-25,SKU_A201,Appliances,26,6951.68,6124.56,827.12,24.24,90,1.7600000000000016
2024-07-26,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.27,90,0.7300000000000004
2024-07-27,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.28,90,1.7199999999999989
2024-07-28,SKU_A201,Appliances,31,8071.04,7302.36,768.68,24.17,90,6.829999999999998
2024-07-29,SKU_A201,Appliances,15,4418.4,3533.4,885.0,24.26,90,9.260000000000002
2024-07-30,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.14,90,4.859999999999999
2024-07-31,SKU_A201,Appliances,25,6745.48,5889.0,856.48,24.2,90,0.8000000000000007
2024-08-01,SKU_A201,Appliances,21,5743.96,4946.76,797.2,24.19,90,3.1900000000000013
2024-08-02,SKU_A201,Appliances,27,7025.34,6360.12,665.22,24.13,90,2.870000000000001
2024-08-03,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,24.14,90,2.8599999999999994
2024-08-04,SKU_A201,Appliances,35,10309.6,8244.6,2065.0,24.16,90,10.84
2024-08-05,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.33,90,1.3299999999999983
2024-08-06,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,24.28,90,0.28000000000000114
2024-08-07,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.32,90,4.32
2024-08-08,SKU_A201,Appliances,22,5817.62,5182.32,635.3,24.26,90,2.2600000000000016
2024-08-09,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.18,90,4.18
2024-08-10,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.17,90,3.8299999999999983
2024-08-11,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.18,90,3.1799999999999997
2024-08-12,SKU_A201,Appliances,41,10265.58,9657.96,607.62,24.16,90,16.84
2024-08-13,SKU_A201,Appliances,29,7261.02,6831.24,429.78,24.37,90,4.629999999999999
2024-08-14,SKU_A201,Appliances,35,10309.6,8244.6,2065.0,24.49,90,10.510000000000002
2024-08-15,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.53,90,3.469999999999999
2024-08-16,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.51,90,0.48999999999999844
2024-08-17,SKU_A201,Appliances,15,4418.4,3533.4,885.0,24.56,90,9.559999999999999
2024-08-18,SKU_A201,Appliances,28,7496.62,6595.68,900.94,24.34,90,3.66
2024-08-19,SKU_A201,Appliances,23,6068.0,5417.88,650.12,24.37,90,1.370000000000001
2024-08-20,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.43,90,4.43
2024-08-21,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.38,90,3.620000000000001
2024-08-22,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.38,90,3.379999999999999
2024-08-23,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,24.38,90,2.379999999999999
2024-08-24,SKU_A201,Appliances,30,8836.8,7066.8,1770.0,24.33,90,5.670000000000002
2024-08-25,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.43,90,4.43
2024-08-26,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.43,90,4.57
2024-08-27,SKU_A201,Appliances,18,4771.92,4240.08,531.84,24.4,90,6.399999999999999
2024-08-28,SKU_A201,Appliances,37,9264.06,8715.72,548.34,24.38,90,12.620000000000001
2024-08-29,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,24.53,90,2.469999999999999
2024-08-30,SKU_A201,Appliances,35,9249.28,8244.6,1004.68,24.52,90,10.48
2024-08-31,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.76,90,0.23999999999999844
2024-09-01,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.76,90,4.760000000000002
2024-09-02,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.78,90,1.2199999999999989
2024-09-03,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,24.81,90,0.8099999999999987
2024-09-04,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.92,90,3.9200000000000017
2024-09-05,SKU_A201,Appliances,27,7113.7,6360.12,753.58,24.67,90,2.3299999999999983
2024-09-06,SKU_A201,Appliances,19,5331.56,4475.64,855.92,24.68,90,5.68
2024-09-07,SKU_A201,Appliances,16,4712.96,3768.96,944.0,24.48,90,8.48
2024-09-08,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.32,90,5.32
2024-09-09,SKU_A201,Appliances,33,8925.24,7773.48,1151.76,24.24,90,8.760000000000002
2024-09-10,SKU_A201,Appliances,35,9558.54,8244.6,1313.94,24.39,90,10.61
2024-09-11,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.5,90,4.5
2024-09-12,SKU_A201,Appliances,20,5493.58,4711.2,782.38,24.62,90,4.620000000000001
2024-09-13,SKU_A201,Appliances,15,4418.4,3533.4,885.0,24.66,90,9.66
2024-09-14,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.57,90,3.5700000000000003
2024-09-15,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.43,90,1.5700000000000003
2024-09-16,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.47,90,1.5300000000000011
2024-09-17,SKU_A201,Appliances,35,9337.64,8244.6,1093.04,24.44,90,10.559999999999999
2024-09-18,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.66,90,4.34
2024-09-19,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,24.69,90,4.690000000000001
2024-09-20,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.59,90,3.41
2024-09-21,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.67,90,1.3299999999999983
2024-09-22,SKU_A201,Appliances,33,8969.42,7773.48,1195.94,24.73,90,8.27
2024-09-23,SKU_A201,Appliances,30,8836.8,7066.8,1770.0,24.89,90,5.109999999999999
2024-09-24,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,24.9,90,0.8999999999999986
2024-09-25,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.92,90,1.0799999999999983
2024-09-26,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.77,90,4.23
2024-09-27,SKU_A201,Appliances,31,9131.36,7302.36,1829.0,24.87,90,6.129999999999999
2024-09-28,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.93,90,0.07000000000000028
2024-09-29,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.94,90,1.9400000000000013
2024-09-30,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.98,90,3.9800000000000004
2024-10-01,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.89,90,3.1099999999999994
2024-10-02,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,24.99,90,3.9899999999999984
2024-10-03,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.0,90,1.0
2024-10-04,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.94,90,1.9400000000000013
2024-10-05,SKU_A201,Appliances,36,9013.68,8480.16,533.52,24.74,90,11.260000000000002
2024-10-06,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.83,90,4.170000000000002
2024-10-07,SKU_A201,Appliances,30,7953.2,7066.8,886.4,24.96,90,5.039999999999999
2024-10-08,SKU_A201,Appliances,33,9720.48,7773.48,1947.0,25.07,90,7.93
2024-10-09,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,25.22,90,1.7800000000000011
2024-10-10,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,25.29,90,6.289999999999999
2024-10-11,SKU_A201,Appliances,15,4418.4,3533.4,885.0,25.2,90,10.2
2024-10-12,SKU_A201,Appliances,18,4816.1,4240.08,576.02,25.02,90,7.02
2024-10-13,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.9,90,0.10000000000000142
2024-10-14,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.94,90,1.9400000000000013
